%
(G-code output for Bezier Surface generated from given 4x4 matrix)
(Generated by HARISHKUMAR LAXMIKANT GAJAKOSH)
(As a part of COMPUTER INTEGRATED MANUFACTURING Project)
(Guided By Prof RAKESH LINGAM
(Creation date: 22-May-2022 21:59:42)
(Spindle Speed	= 12000 RPM)
(Tool	= 1)
N1 G90
N2 G21
N3 	G00 	X1.00000 	Y5.00000 	Z2.50000 	F100
N4 	G01 	X1.00000 	Y5.00000 	Z1.00000
N2637 	G01 	X11.06214 	Y19.32027 	Z2.10816
N2638 	G01 	X10.48750 	Y19.32027 	Z2.12625
N2639 	G01 	X9.91443 	Y19.32027 	Z2.14349
N2640 	G01 	X9.34300 	Y19.32027 	Z2.15978
N2641 	G01 	X8.77325 	Y19.32027 	Z2.17501
N2642 	G01 	X8.20522 	Y19.32027 	Z2.18907
N2643 	G01 	X7.63898 	Y19.32027 	Z2.20184
N2644 	G01 	X7.07455 	Y19.32027 	Z2.21321
N2645 	G01 	X6.51200 	Y19.32027 	Z2.22308
N2646 	G01 	X5.95137 	Y19.32027 	Z2.23133
N2647 	G01 	X5.39270 	Y19.32027 	Z2.23785
N2648 	G01 	X4.83606 	Y19.32027 	Z2.24254
N2649 	G01 	X4.28147 	Y19.32027 	Z2.24527
N2650 	G01 	X3.72900 	Y19.32027 	Z2.24594
N2651 	G01 	X3.17869 	Y19.32027 	Z2.24444
N2652 	G01 	X2.63058 	Y19.32027 	Z2.24065
N2653 	G01 	X2.08474 	Y19.32027 	Z2.23448
N2654 	G01 	X1.54119 	Y19.32027 	Z2.22579
N2655 	G01 	X1.00000 	Y19.32027 	Z2.21450

N2656 	G01 	X1.00000 	Y19.60106 	Z2.22953
N2657 	G01 	X1.54119 	Y19.60106 	Z2.23876
N2658 	G01 	X2.08474 	Y19.60106 	Z2.24550
N2659 	G01 	X2.63058 	Y19.60106 	Z2.24987
N2660 	G01 	X3.17869 	Y19.60106 	Z2.25197
N2661 	G01 	X3.72900 	Y19.60106 	Z2.25191
N2662 	G01 	X4.28147 	Y19.60106 	Z2.24979
N2663 	G01 	X4.83606 	Y19.60106 	Z2.24572
N2664 	G01 	X5.39270 	Y19.60106 	Z2.23981
N2665 	G01 	X5.95137 	Y19.60106 	Z2.23217
N2666 	G01 	X6.51200 	Y19.60106 	Z2.22290
N2667 	G01 	X7.07455 	Y19.60106 	Z2.21211
N2668 	G01 	X7.63898 	Y19.60106 	Z2.19991
N2669 	G01 	X8.20522 	Y19.60106 	Z2.18641
N2670 	G01 	X8.77325 	Y19.60106 	Z2.17171
N2671 	G01 	X9.34300 	Y19.60106 	Z2.15591
N2672 	G01 	X9.91443 	Y19.60106 	Z2.13914
N2673 	G01 	X10.48750 	Y19.60106 	Z2.12149
N2674 	G01 	X11.06214 	Y19.60106 	Z2.10307
N2675 	G01 	X11.63833 	Y19.60106 	Z2.08399
N2676 	G01 	X12.21600 	Y19.60106 	Z2.06435
N2677 	G01 	X12.79511 	Y19.60106 	Z2.04427
N2678 	G01 	X13.37562 	Y19.60106 	Z2.02385
N2679 	G01 	X13.95746 	Y19.60106 	Z2.00319
N2680 	G01 	X14.54061 	Y19.60106 	Z1.98241
N2681 	G01 	X15.12500 	Y19.60106 	Z1.96162
N2682 	G01 	X15.71059 	Y19.60106 	Z1.94091
N2683 	G01 	X16.29734 	Y19.60106 	Z1.92040
N2684 	G01 	X16.88518 	Y19.60106 	Z1.90019
N2685 	G01 	X17.47409 	Y19.60106 	Z1.88039
N2686 	G01 	X18.06400 	Y19.60106 	Z1.86111
N2687 	G01 	X18.65487 	Y19.60106 	Z1.84246
N2688 	G01 	X19.24666 	Y19.60106 	Z1.82454
N2689 	G01 	X19.83930 	Y19.60106 	Z1.80745
N2690 	G01 	X20.43277 	Y19.60106 	Z1.79132
N2691 	G01 	X21.02700 	Y19.60106 	Z1.77624
N2692 	G01 	X21.62195 	Y19.60106 	Z1.76232
N2693 	G01 	X22.21758 	Y19.60106 	Z1.74967
N2694 	G01 	X22.81382 	Y19.60106 	Z1.73840
N2695 	G01 	X23.41065 	Y19.60106 	Z1.72861
N2696 	G01 	X24.00800 	Y19.60106 	Z1.72041
N2697 	G01 	X24.60583 	Y19.60106 	Z1.71391
N2698 	G01 	X25.20410 	Y19.60106 	Z1.70921
N2699 	G01 	X25.80274 	Y19.60106 	Z1.70642
N2700 	G01 	X26.40173 	Y19.60106 	Z1.70566
N2701 	G01 	X27.00100 	Y19.60106 	Z1.70702
N2702 	G01 	X27.60051 	Y19.60106 	Z1.71061
N2703 	G01 	X28.20022 	Y19.60106 	Z1.71655
N2704 	G01 	X28.80006 	Y19.60106 	Z1.72493
N2705 	G01 	X29.40001 	Y19.60106 	Z1.73587
N2706 	G01 	X30.00000 	Y19.60106 	Z1.74947

N2707 	G01 	X30.00000 	Y19.88185 	Z1.74995
N2708 	G01 	X29.40001 	Y19.88185 	Z1.73630
N2709 	G01 	X28.80006 	Y19.88185 	Z1.72526
N2710 	G01 	X28.20022 	Y19.88185 	Z1.71674
N2711 	G01 	X27.60051 	Y19.88185 	Z1.71063
N2712 	G01 	X27.00100 	Y19.88185 	Z1.70682
N2713 	G01 	X26.40173 	Y19.88185 	Z1.70522
N2714 	G01 	X25.80274 	Y19.88185 	Z1.70572
N2715 	G01 	X25.20410 	Y19.88185 	Z1.70821
N2716 	G01 	X24.60583 	Y19.88185 	Z1.71260
N2717 	G01 	X24.00800 	Y19.88185 	Z1.71878
N2718 	G01 	X23.41065 	Y19.88185 	Z1.72664
N2719 	G01 	X22.81382 	Y19.88185 	Z1.73608
N2720 	G01 	X22.21758 	Y19.88185 	Z1.74700
N2721 	G01 	X21.62195 	Y19.88185 	Z1.75930
N2722 	G01 	X21.02700 	Y19.88185 	Z1.77287
N2723 	G01 	X20.43277 	Y19.88185 	Z1.78760
N2724 	G01 	X19.83930 	Y19.88185 	Z1.80340
N2725 	G01 	X19.24666 	Y19.88185 	Z1.82017
N2726 	G01 	X18.65487 	Y19.88185 	Z1.83778
N2727 	G01 	X18.06400 	Y19.88185 	Z1.85615
N2728 	G01 	X17.47409 	Y19.88185 	Z1.87518
N2729 	G01 	X16.88518 	Y19.88185 	Z1.89474
N2730 	G01 	X16.29734 	Y19.88185 	Z1.91475
N2731 	G01 	X15.71059 	Y19.88185 	Z1.93510
N2732 	G01 	X15.12500 	Y19.88185 	Z1.95569
N2733 	G01 	X14.54061 	Y19.88185 	Z1.97641
N2734 	G01 	X13.95746 	Y19.88185 	Z1.99715
N2735 	G01 	X13.37562 	Y19.88185 	Z2.01782
N2736 	G01 	X12.79511 	Y19.88185 	Z2.03832
N2737 	G01 	X12.21600 	Y19.88185 	Z2.05853
N2738 	G01 	X11.63833 	Y19.88185 	Z2.07835
N2739 	G01 	X11.06214 	Y19.88185 	Z2.09769
N2740 	G01 	X10.48750 	Y19.88185 	Z2.11643
N2741 	G01 	X9.91443 	Y19.88185 	Z2.13448
N2742 	G01 	X9.34300 	Y19.88185 	Z2.15173
N2743 	G01 	X8.77325 	Y19.88185 	Z2.16807
N2744 	G01 	X8.20522 	Y19.88185 	Z2.18341
N2745 	G01 	X7.63898 	Y19.88185 	Z2.19764
N2746 	G01 	X7.07455 	Y19.88185 	Z2.21065
N2747 	G01 	X6.51200 	Y19.88185 	Z2.22234
N2748 	G01 	X5.95137 	Y19.88185 	Z2.23262
N2749 	G01 	X5.39270 	Y19.88185 	Z2.24137
N2750 	G01 	X4.83606 	Y19.88185 	Z2.24849
N2751 	G01 	X4.28147 	Y19.88185 	Z2.25388
N2752 	G01 	X3.72900 	Y19.88185 	Z2.25743
N2753 	G01 	X3.17869 	Y19.88185 	Z2.25905
N2754 	G01 	X2.63058 	Y19.88185 	Z2.25862
N2755 	G01 	X2.08474 	Y19.88185 	Z2.25605
N2756 	G01 	X1.54119 	Y19.88185 	Z2.25122
N2757 	G01 	X1.00000 	Y19.88185 	Z2.24405

N2758 	G01 	X1.00000 	Y20.16264 	Z2.25804
N2759 	G01 	X1.54119 	Y20.16264 	Z2.26318
N2760 	G01 	X2.08474 	Y20.16264 	Z2.26610
N2761 	G01 	X2.63058 	Y20.16264 	Z2.26689
N2762 	G01 	X3.17869 	Y20.16264 	Z2.26566
N2763 	G01 	X3.72900 	Y20.16264 	Z2.26251
N2764 	G01 	X4.28147 	Y20.16264 	Z2.25754
N2765 	G01 	X4.83606 	Y20.16264 	Z2.25084
N2766 	G01 	X5.39270 	Y20.16264 	Z2.24252
N2767 	G01 	X5.95137 	Y20.16264 	Z2.23268
N2768 	G01 	X6.51200 	Y20.16264 	Z2.22142
N2769 	G01 	X7.07455 	Y20.16264 	Z2.20883
N2770 	G01 	X7.63898 	Y20.16264 	Z2.19501
N2771 	G01 	X8.20522 	Y20.16264 	Z2.18008
N2772 	G01 	X8.77325 	Y20.16264 	Z2.16412
N2773 	G01 	X9.34300 	Y20.16264 	Z2.14723
N2774 	G01 	X9.91443 	Y20.16264 	Z2.12952
N2775 	G01 	X10.48750 	Y20.16264 	Z2.11109
N2776 	G01 	X11.06214 	Y20.16264 	Z2.09203
N2777 	G01 	X11.63833 	Y20.16264 	Z2.07245
N2778 	G01 	X12.21600 	Y20.16264 	Z2.05244
N2779 	G01 	X12.79511 	Y20.16264 	Z2.03211
N2780 	G01 	X13.37562 	Y20.16264 	Z2.01155
N2781 	G01 	X13.95746 	Y20.16264 	Z1.99087
N2782 	G01 	X14.54061 	Y20.16264 	Z1.97016
N2783 	G01 	X15.12500 	Y20.16264 	Z1.94953
N2784 	G01 	X15.71059 	Y20.16264 	Z1.92907
N2785 	G01 	X16.29734 	Y20.16264 	Z1.90888
N2786 	G01 	X16.88518 	Y20.16264 	Z1.88907
N2787 	G01 	X17.47409 	Y20.16264 	Z1.86973
N2788 	G01 	X18.06400 	Y20.16264 	Z1.85097
N2789 	G01 	X18.65487 	Y20.16264 	Z1.83288
N2790 	G01 	X19.24666 	Y20.16264 	Z1.81556
N2791 	G01 	X19.83930 	Y20.16264 	Z1.79912
N2792 	G01 	X20.43277 	Y20.16264 	Z1.78365
N2793 	G01 	X21.02700 	Y20.16264 	Z1.76925
N2794 	G01 	X21.62195 	Y20.16264 	Z1.75602
N2795 	G01 	X22.21758 	Y20.16264 	Z1.74407
N2796 	G01 	X22.81382 	Y20.16264 	Z1.73349
N2797 	G01 	X23.41065 	Y20.16264 	Z1.72438
N2798 	G01 	X24.00800 	Y20.16264 	Z1.71684
N2799 	G01 	X24.60583 	Y20.16264 	Z1.71098
N2800 	G01 	X25.20410 	Y20.16264 	Z1.70689
N2801 	G01 	X25.80274 	Y20.16264 	Z1.70467
N2802 	G01 	X26.40173 	Y20.16264 	Z1.70442
N2803 	G01 	X27.00100 	Y20.16264 	Z1.70624
N2804 	G01 	X27.60051 	Y20.16264 	Z1.71023
N2805 	G01 	X28.20022 	Y20.16264 	Z1.71650
N2806 	G01 	X28.80006 	Y20.16264 	Z1.72513
N2807 	G01 	X29.40001 	Y20.16264 	Z1.73624
N2808 	G01 	X30.00000 	Y20.16264 	Z1.74991

N2809 	G01 	X30.00000 	Y20.44343 	Z1.74934
N2810 	G01 	X29.40001 	Y20.44343 	Z1.73568
N2811 	G01 	X28.80006 	Y20.44343 	Z1.72453
N2812 	G01 	X28.20022 	Y20.44343 	Z1.71581
N2813 	G01 	X27.60051 	Y20.44343 	Z1.70942
N2814 	G01 	X27.00100 	Y20.44343 	Z1.70527
N2815 	G01 	X26.40173 	Y20.44343 	Z1.70325
N2816 	G01 	X25.80274 	Y20.44343 	Z1.70327
N2817 	G01 	X25.20410 	Y20.44343 	Z1.70523
N2818 	G01 	X24.60583 	Y20.44343 	Z1.70905
N2819 	G01 	X24.00800 	Y20.44343 	Z1.71462
N2820 	G01 	X23.41065 	Y20.44343 	Z1.72184
N2821 	G01 	X22.81382 	Y20.44343 	Z1.73063
N2822 	G01 	X22.21758 	Y20.44343 	Z1.74088
N2823 	G01 	X21.62195 	Y20.44343 	Z1.75250
N2824 	G01 	X21.02700 	Y20.44343 	Z1.76539
N2825 	G01 	X20.43277 	Y20.44343 	Z1.77946
N2826 	G01 	X19.83930 	Y20.44343 	Z1.79461
N2827 	G01 	X19.24666 	Y20.44343 	Z1.81074
N2828 	G01 	X18.65487 	Y20.44343 	Z1.82776
N2829 	G01 	X18.06400 	Y20.44343 	Z1.84557
N2830 	G01 	X17.47409 	Y20.44343 	Z1.86408
N2831 	G01 	X16.88518 	Y20.44343 	Z1.88318
N2832 	G01 	X16.29734 	Y20.44343 	Z1.90280
N2833 	G01 	X15.71059 	Y20.44343 	Z1.92281
N2834 	G01 	X15.12500 	Y20.44343 	Z1.94314
N2835 	G01 	X14.54061 	Y20.44343 	Z1.96369
N2836 	G01 	X13.95746 	Y20.44343 	Z1.98435
N2837 	G01 	X13.37562 	Y20.44343 	Z2.00504
N2838 	G01 	X12.79511 	Y20.44343 	Z2.02566
N2839 	G01 	X12.21600 	Y20.44343 	Z2.04610
N2840 	G01 	X11.63833 	Y20.44343 	Z2.06628
N2841 	G01 	X11.06214 	Y20.44343 	Z2.08610
N2842 	G01 	X10.48750 	Y20.44343 	Z2.10546
N2843 	G01 	X9.91443 	Y20.44343 	Z2.12427
N2844 	G01 	X9.34300 	Y20.44343 	Z2.14243
N2845 	G01 	X8.77325 	Y20.44343 	Z2.15984
N2846 	G01 	X8.20522 	Y20.44343 	Z2.17641
N2847 	G01 	X7.63898 	Y20.44343 	Z2.19205
N2848 	G01 	X7.07455 	Y20.44343 	Z2.20664
N2849 	G01 	X6.51200 	Y20.44343 	Z2.22011
N2850 	G01 	X5.95137 	Y20.44343 	Z2.23236
N2851 	G01 	X5.39270 	Y20.44343 	Z2.24328
N2852 	G01 	X4.83606 	Y20.44343 	Z2.25278
N2853 	G01 	X4.28147 	Y20.44343 	Z2.26077
N2854 	G01 	X3.72900 	Y20.44343 	Z2.26714
N2855 	G01 	X3.17869 	Y20.44343 	Z2.27182
N2856 	G01 	X2.63058 	Y20.44343 	Z2.27468
N2857 	G01 	X2.08474 	Y20.44343 	Z2.27565
N2858 	G01 	X1.54119 	Y20.44343 	Z2.27463
N2859 	G01 	X1.00000 	Y20.44343 	Z2.27151

N2860 	G01 	X1.00000 	Y20.72422 	Z2.28443
N2861 	G01 	X1.54119 	Y20.72422 	Z2.28555
N2862 	G01 	X2.08474 	Y20.72422 	Z2.28470
N2863 	G01 	X2.63058 	Y20.72422 	Z2.28198
N2864 	G01 	X3.17869 	Y20.72422 	Z2.27749
N2865 	G01 	X3.72900 	Y20.72422 	Z2.27132
N2866 	G01 	X4.28147 	Y20.72422 	Z2.26355
N2867 	G01 	X4.83606 	Y20.72422 	Z2.25429
N2868 	G01 	X5.39270 	Y20.72422 	Z2.24362
N2869 	G01 	X5.95137 	Y20.72422 	Z2.23164
N2870 	G01 	X6.51200 	Y20.72422 	Z2.21843
N2871 	G01 	X7.07455 	Y20.72422 	Z2.20410
N2872 	G01 	X7.63898 	Y20.72422 	Z2.18873
N2873 	G01 	X8.20522 	Y20.72422 	Z2.17241
N2874 	G01 	X8.77325 	Y20.72422 	Z2.15524
N2875 	G01 	X9.34300 	Y20.72422 	Z2.13732
N2876 	G01 	X9.91443 	Y20.72422 	Z2.11872
N2877 	G01 	X10.48750 	Y20.72422 	Z2.09955
N2878 	G01 	X11.06214 	Y20.72422 	Z2.07989
N2879 	G01 	X11.63833 	Y20.72422 	Z2.05985
N2880 	G01 	X12.21600 	Y20.72422 	Z2.03951
N2881 	G01 	X12.79511 	Y20.72422 	Z2.01896
N2882 	G01 	X13.37562 	Y20.72422 	Z1.99829
N2883 	G01 	X13.95746 	Y20.72422 	Z1.97761
N2884 	G01 	X14.54061 	Y20.72422 	Z1.95699
N2885 	G01 	X15.12500 	Y20.72422 	Z1.93654
N2886 	G01 	X15.71059 	Y20.72422 	Z1.91634
N2887 	G01 	X16.29734 	Y20.72422 	Z1.89650
N2888 	G01 	X16.88518 	Y20.72422 	Z1.87709
N2889 	G01 	X17.47409 	Y20.72422 	Z1.85821
N2890 	G01 	X18.06400 	Y20.72422 	Z1.83996
N2891 	G01 	X18.65487 	Y20.72422 	Z1.82242
N2892 	G01 	X19.24666 	Y20.72422 	Z1.80570
N2893 	G01 	X19.83930 	Y20.72422 	Z1.78988
N2894 	G01 	X20.43277 	Y20.72422 	Z1.77505
N2895 	G01 	X21.02700 	Y20.72422 	Z1.76130
N2896 	G01 	X21.62195 	Y20.72422 	Z1.74874
N2897 	G01 	X22.21758 	Y20.72422 	Z1.73744
N2898 	G01 	X22.81382 	Y20.72422 	Z1.72751
N2899 	G01 	X23.41065 	Y20.72422 	Z1.71903
N2900 	G01 	X24.00800 	Y20.72422 	Z1.71211
N2901 	G01 	X24.60583 	Y20.72422 	Z1.70682
N2902 	G01 	X25.20410 	Y20.72422 	Z1.70326
N2903 	G01 	X25.80274 	Y20.72422 	Z1.70153
N2904 	G01 	X26.40173 	Y20.72422 	Z1.70171
N2905 	G01 	X27.00100 	Y20.72422 	Z1.70391
N2906 	G01 	X27.60051 	Y20.72422 	Z1.70821
N2907 	G01 	X28.20022 	Y20.72422 	Z1.71470
N2908 	G01 	X28.80006 	Y20.72422 	Z1.72347
N2909 	G01 	X29.40001 	Y20.72422 	Z1.73463
N2910 	G01 	X30.00000 	Y20.72422 	Z1.74825

N2911 	G01 	X30.00000 	Y21.00501 	Z1.74663
N2912 	G01 	X29.40001 	Y21.00501 	Z1.73308
N2913 	G01 	X28.80006 	Y21.00501 	Z1.72195
N2914 	G01 	X28.20022 	Y21.00501 	Z1.71315
N2915 	G01 	X27.60051 	Y21.00501 	Z1.70658
N2916 	G01 	X27.00100 	Y21.00501 	Z1.70217
N2917 	G01 	X26.40173 	Y21.00501 	Z1.69983
N2918 	G01 	X25.80274 	Y21.00501 	Z1.69946
N2919 	G01 	X25.20410 	Y21.00501 	Z1.70097
N2920 	G01 	X24.60583 	Y21.00501 	Z1.70429
N2921 	G01 	X24.00800 	Y21.00501 	Z1.70931
N2922 	G01 	X23.41065 	Y21.00501 	Z1.71596
N2923 	G01 	X22.81382 	Y21.00501 	Z1.72414
N2924 	G01 	X22.21758 	Y21.00501 	Z1.73376
N2925 	G01 	X21.62195 	Y21.00501 	Z1.74475
N2926 	G01 	X21.02700 	Y21.00501 	Z1.75699
N2927 	G01 	X20.43277 	Y21.00501 	Z1.77042
N2928 	G01 	X19.83930 	Y21.00501 	Z1.78494
N2929 	G01 	X19.24666 	Y21.00501 	Z1.80046
N2930 	G01 	X18.65487 	Y21.00501 	Z1.81689
N2931 	G01 	X18.06400 	Y21.00501 	Z1.83415
N2932 	G01 	X17.47409 	Y21.00501 	Z1.85215
N2933 	G01 	X16.88518 	Y21.00501 	Z1.87079
N2934 	G01 	X16.29734 	Y21.00501 	Z1.89000
N2935 	G01 	X15.71059 	Y21.00501 	Z1.90967
N2936 	G01 	X15.12500 	Y21.00501 	Z1.92973
N2937 	G01 	X14.54061 	Y21.00501 	Z1.95008
N2938 	G01 	X13.95746 	Y21.00501 	Z1.97064
N2939 	G01 	X13.37562 	Y21.00501 	Z1.99132
N2940 	G01 	X12.79511 	Y21.00501 	Z2.01202
N2941 	G01 	X12.21600 	Y21.00501 	Z2.03267
N2942 	G01 	X11.63833 	Y21.00501 	Z2.05316
N2943 	G01 	X11.06214 	Y21.00501 	Z2.07342
N2944 	G01 	X10.48750 	Y21.00501 	Z2.09336
N2945 	G01 	X9.91443 	Y21.00501 	Z2.11288
N2946 	G01 	X9.34300 	Y21.00501 	Z2.13190
N2947 	G01 	X8.77325 	Y21.00501 	Z2.15033
N2948 	G01 	X8.20522 	Y21.00501 	Z2.16808
N2949 	G01 	X7.63898 	Y21.00501 	Z2.18507
N2950 	G01 	X7.07455 	Y21.00501 	Z2.20119
N2951 	G01 	X6.51200 	Y21.00501 	Z2.21638
N2952 	G01 	X5.95137 	Y21.00501 	Z2.23053
N2953 	G01 	X5.39270 	Y21.00501 	Z2.24356
N2954 	G01 	X4.83606 	Y21.00501 	Z2.25538
N2955 	G01 	X4.28147 	Y21.00501 	Z2.26590
N2956 	G01 	X3.72900 	Y21.00501 	Z2.27503
N2957 	G01 	X3.17869 	Y21.00501 	Z2.28269
N2958 	G01 	X2.63058 	Y21.00501 	Z2.28879
N2959 	G01 	X2.08474 	Y21.00501 	Z2.29323
N2960 	G01 	X1.54119 	Y21.00501 	Z2.29593
N2961 	G01 	X1.00000 	Y21.00501 	Z2.29681

N2962 	G01 	X1.00000 	Y21.28580 	Z2.30862
N2963 	G01 	X1.54119 	Y21.28580 	Z2.30578
N2964 	G01 	X2.08474 	Y21.28580 	Z2.30124
N2965 	G01 	X2.63058 	Y21.28580 	Z2.29509
N2966 	G01 	X3.17869 	Y21.28580 	Z2.28741
N2967 	G01 	X3.72900 	Y21.28580 	Z2.27828
N2968 	G01 	X4.28147 	Y21.28580 	Z2.26779
N2969 	G01 	X4.83606 	Y21.28580 	Z2.25603
N2970 	G01 	X5.39270 	Y21.28580 	Z2.24308
N2971 	G01 	X5.95137 	Y21.28580 	Z2.22902
N2972 	G01 	X6.51200 	Y21.28580 	Z2.21394
N2973 	G01 	X7.07455 	Y21.28580 	Z2.19793
N2974 	G01 	X7.63898 	Y21.28580 	Z2.18106
N2975 	G01 	X8.20522 	Y21.28580 	Z2.16342
N2976 	G01 	X8.77325 	Y21.28580 	Z2.14510
N2977 	G01 	X9.34300 	Y21.28580 	Z2.12618
N2978 	G01 	X9.91443 	Y21.28580 	Z2.10675
N2979 	G01 	X10.48750 	Y21.28580 	Z2.08689
N2980 	G01 	X11.06214 	Y21.28580 	Z2.06669
N2981 	G01 	X11.63833 	Y21.28580 	Z2.04622
N2982 	G01 	X12.21600 	Y21.28580 	Z2.02558
N2983 	G01 	X12.79511 	Y21.28580 	Z2.00485
N2984 	G01 	X13.37562 	Y21.28580 	Z1.98412
N2985 	G01 	X13.95746 	Y21.28580 	Z1.96346
N2986 	G01 	X14.54061 	Y21.28580 	Z1.94296
N2987 	G01 	X15.12500 	Y21.28580 	Z1.92272
N2988 	G01 	X15.71059 	Y21.28580 	Z1.90280
N2989 	G01 	X16.29734 	Y21.28580 	Z1.88330
N2990 	G01 	X16.88518 	Y21.28580 	Z1.86430
N2991 	G01 	X17.47409 	Y21.28580 	Z1.84589
N2992 	G01 	X18.06400 	Y21.28580 	Z1.82815
N2993 	G01 	X18.65487 	Y21.28580 	Z1.81117
N2994 	G01 	X19.24666 	Y21.28580 	Z1.79502
N2995 	G01 	X19.83930 	Y21.28580 	Z1.77980
N2996 	G01 	X20.43277 	Y21.28580 	Z1.76559
N2997 	G01 	X21.02700 	Y21.28580 	Z1.75247
N2998 	G01 	X21.62195 	Y21.28580 	Z1.74054
N2999 	G01 	X22.21758 	Y21.28580 	Z1.72986
N3000 	G01 	X22.81382 	Y21.28580 	Z1.72053
N3001 	G01 	X23.41065 	Y21.28580 	Z1.71263
N3002 	G01 	X24.00800 	Y21.28580 	Z1.70625
N3003 	G01 	X24.60583 	Y21.28580 	Z1.70148
N3004 	G01 	X25.20410 	Y21.28580 	Z1.69838
N3005 	G01 	X25.80274 	Y21.28580 	Z1.69706
N3006 	G01 	X26.40173 	Y21.28580 	Z1.69759
N3007 	G01 	X27.00100 	Y21.28580 	Z1.70007
N3008 	G01 	X27.60051 	Y21.28580 	Z1.70456
N3009 	G01 	X28.20022 	Y21.28580 	Z1.71117
N3010 	G01 	X28.80006 	Y21.28580 	Z1.71997
N3011 	G01 	X29.40001 	Y21.28580 	Z1.73105
N3012 	G01 	X30.00000 	Y21.28580 	Z1.74449

N3013 	G01 	X30.00000 	Y21.56659 	Z1.74182
N3014 	G01 	X29.40001 	Y21.56659 	Z1.72852
N3015 	G01 	X28.80006 	Y21.56659 	Z1.71753
N3016 	G01 	X28.20022 	Y21.56659 	Z1.70877
N3017 	G01 	X27.60051 	Y21.56659 	Z1.70215
N3018 	G01 	X27.00100 	Y21.56659 	Z1.69759
N3019 	G01 	X26.40173 	Y21.56659 	Z1.69502
N3020 	G01 	X25.80274 	Y21.56659 	Z1.69434
N3021 	G01 	X25.20410 	Y21.56659 	Z1.69549
N3022 	G01 	X24.60583 	Y21.56659 	Z1.69838
N3023 	G01 	X24.00800 	Y21.56659 	Z1.70293
N3024 	G01 	X23.41065 	Y21.56659 	Z1.70906
N3025 	G01 	X22.81382 	Y21.56659 	Z1.71669
N3026 	G01 	X22.21758 	Y21.56659 	Z1.72573
N3027 	G01 	X21.62195 	Y21.56659 	Z1.73611
N3028 	G01 	X21.02700 	Y21.56659 	Z1.74775
N3029 	G01 	X20.43277 	Y21.56659 	Z1.76057
N3030 	G01 	X19.83930 	Y21.56659 	Z1.77448
N3031 	G01 	X19.24666 	Y21.56659 	Z1.78940
N3032 	G01 	X18.65487 	Y21.56659 	Z1.80526
N3033 	G01 	X18.06400 	Y21.56659 	Z1.82198
N3034 	G01 	X17.47409 	Y21.56659 	Z1.83946
N3035 	G01 	X16.88518 	Y21.56659 	Z1.85764
N3036 	G01 	X16.29734 	Y21.56659 	Z1.87642
N3037 	G01 	X15.71059 	Y21.56659 	Z1.89574
N3038 	G01 	X15.12500 	Y21.56659 	Z1.91551
N3039 	G01 	X14.54061 	Y21.56659 	Z1.93564
N3040 	G01 	X13.95746 	Y21.56659 	Z1.95607
N3041 	G01 	X13.37562 	Y21.56659 	Z1.97670
N3042 	G01 	X12.79511 	Y21.56659 	Z1.99746
N3043 	G01 	X12.21600 	Y21.56659 	Z2.01827
N3044 	G01 	X11.63833 	Y21.56659 	Z2.03904
N3045 	G01 	X11.06214 	Y21.56659 	Z2.05970
N3046 	G01 	X10.48750 	Y21.56659 	Z2.08016
N3047 	G01 	X9.91443 	Y21.56659 	Z2.10034
N3048 	G01 	X9.34300 	Y21.56659 	Z2.12017
N3049 	G01 	X8.77325 	Y21.56659 	Z2.13956
N3050 	G01 	X8.20522 	Y21.56659 	Z2.15843
N3051 	G01 	X7.63898 	Y21.56659 	Z2.17670
N3052 	G01 	X7.07455 	Y21.56659 	Z2.19429
N3053 	G01 	X6.51200 	Y21.56659 	Z2.21113
N3054 	G01 	X5.95137 	Y21.56659 	Z2.22712
N3055 	G01 	X5.39270 	Y21.56659 	Z2.24218
N3056 	G01 	X4.83606 	Y21.56659 	Z2.25625
N3057 	G01 	X4.28147 	Y21.56659 	Z2.26923
N3058 	G01 	X3.72900 	Y21.56659 	Z2.28105
N3059 	G01 	X3.17869 	Y21.56659 	Z2.29163
N3060 	G01 	X2.63058 	Y21.56659 	Z2.30088
N3061 	G01 	X2.08474 	Y21.56659 	Z2.30872
N3062 	G01 	X1.54119 	Y21.56659 	Z2.31507
N3063 	G01 	X1.00000 	Y21.56659 	Z2.31986

N3064 	G01 	X1.00000 	Y21.84738 	Z2.33053
N3065 	G01 	X1.54119 	Y21.84738 	Z2.32381
N3066 	G01 	X2.08474 	Y21.84738 	Z2.31566
N3067 	G01 	X2.63058 	Y21.84738 	Z2.30615
N3068 	G01 	X3.17869 	Y21.84738 	Z2.29535
N3069 	G01 	X3.72900 	Y21.84738 	Z2.28335
N3070 	G01 	X4.28147 	Y21.84738 	Z2.27022
N3071 	G01 	X4.83606 	Y21.84738 	Z2.25603
N3072 	G01 	X5.39270 	Y21.84738 	Z2.24087
N3073 	G01 	X5.95137 	Y21.84738 	Z2.22481
N3074 	G01 	X6.51200 	Y21.84738 	Z2.20793
N3075 	G01 	X7.07455 	Y21.84738 	Z2.19030
N3076 	G01 	X7.63898 	Y21.84738 	Z2.17200
N3077 	G01 	X8.20522 	Y21.84738 	Z2.15311
N3078 	G01 	X8.77325 	Y21.84738 	Z2.13370
N3079 	G01 	X9.34300 	Y21.84738 	Z2.11386
